No,SAP CODE,STORE NAME,LAT,LONG,Store Address
177,E836,ERAFONE MB SUNGAI BAMBU RAYA,-6.1267694,106.8863094,"Jl. Sungai bambu raya No.1A RT.008/004, Kel.Sungai Bambu, Kec.Tanjung Priok, Jakarta Utara (14330)"
178,E614,ERAFONE PADEMANGAN,-6.1389796,106.8339283,Jl. Hidup Baru 3 NO.E4 Rt.01/Rw.03 Komplek Gunung Sahari Pademangan
179,E300,ERAFONE RUKO BUGIS,-6.1159045,106.8897894,JL.Bugis raya .73 Tanjung Priuk Jakarta Utara 14320
180,E384,ERAFONE RUKO TAMAN GORONTALO PRIUK,-6.117025,106.877262,"Jl. Warakas no. 31 Rt. 07 Rw. 01, Kel.Warakas, Kec.Tanjung Priok , Jakarta Utara. 14370"
181,E171,ERAFONE SUNTER MALL,-6.1381896,106.870967,"Sunter Mall Lt. 2 No. 12A, Jl. Danau Sunter Utara No.12, RT.14/RW.13, Sunter Agung, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350"
182,Q098,GERAI ISAT OOREDOO MALL OF INDONESI,-6.1506201,106.8920482,"Mall of Indonesia LT.2 Unit A No.8, Jl. Boulevard Bar. Raya, RT.18/RW.8, Klp. Gading Bar.Jkt Utara. 14240"
183,G071,LOTTEMART KELAPA GADING,-6.1540364,106.8953607,"Jalan Boulevard Barat Raya, Kelapa Gading Barat, Kelapa Gading, RT.18/RW.8, Klp. Gading Bar., Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240"
184,F051,ERAFONE BAYWALK MALL,-6.1119907,106.7847388,"Baywalk Mall Lantai GF-55 Jl. Pluit Karang Ayu No. B1, Pluit, Kec. Penjaringan, Jakarta Utara 14450"
185,F002,ERAFONE CIBANTENG KOJA,-6.1142536,106.8988921,"Jl. Cibanteng Raya No.5, RT.009/RW.011, Kel. Rawabadak, Kec. Koja. Jakarta Utara. 14220"
186,E050,ERAFONE EMPORIUM PLUIT MALL,-6.1273947,106.7909084,"Emporium Pluit Mall Lt. 2 No. 33-35, Jl. Pluit Selatan Raya No.1, RT.23/RW.8, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440"
